Getting services from marketplace in org cent@us.ibm.com / space Cognitive as hans.moen@ie.ibm.com...
OK

service                                                       plans                                                                                                                                                                                                                                                                                                                                     description
cpy-insights                                                  free                                                                                                                                                                                                                                                                                                                                      Business Activity Insights for Bluemix© apps
dashDB                                                        Entry*, Enterprise*, Enterprise256.4*, Enterprise256.12*, EnterpriseMPP.4*, EnterpriseTransactional12.128.1400*, EnterpriseTransactional2.8.500*, EnterpriseMPP32.244.1400forAWS*, EnterpriseTransactional2.8.500.PPU*, EnterpriseTransactionalHA2.8.500.PPU*, EnterpriseTransactionalHA2.8.500*, EnterpriseTransactionalHA12.128.1400*   A flexible and powerful data warehouse for online analytics processing, or a highly reliable relational database for enterprise-level online transaction processing.
db2oncloud                                                    db2oncloud_small*, db2oncloud_medium*, db2oncloud_large*, db2oncloud_x-large*, db2oncloud_small_adv*, db2oncloud_medium_adv*, db2oncloud_large_adv*, db2oncloud_x-large_adv*, db2oncloud_xx-large_adv*                                                                                                                                    IBM DB2 on Cloud: Offers customers the rich features of an on-premise DB2 deployment without the cost, complexity, and risk of managing their own infrastructure.
deploymentriskanalytics                                       Free                                                                                                                                                                                                                                                                                                                                      Deployment risk analytics measures the risks before making code deployments from one environment to another so one can quickly make a go or no-go decision. It also provides high-level dashboard view of deployment environments so you can quickly see what is running where.
document_conversion                                           standard*, premium*                                                                                                                                                                                                                                                                                                                       Converts a  HTML, PDF, or Microsoft Word™ document into a normalized HTML, plain text, or a set of JSON-formatted Answer units.
dreamface                                                     free, basic*, professional*, enterprise*                                                                                                                                                                                                                                                                                                  Cloud Application Development Platform
driverinsights                                                free, standard*                                                                                                                                                                                                                                                                                                                           IBM Watson IoT Driver Behavior Service lets you analyze drivers' behavior from vehicle probe data and contextual data.
ecs-checker                                                   ecs-checker-free                                                                                                                                                                                                                                                                                                                          Automate accessibility verification of HTML and EPUB documents.
ecs-dashboard                                                 ecs-dashboard-free                                                                                                                                                                                                                                                                                                                        Integrate automated accessibility auditing and reporting capabilities into your deployment DevOps processes.
elephantsql                                                   turtle, panda*, hippo*, elephant*, pigeon*                                                                                                                                                                                                                                                                                                PostgreSQL as a Service
flowthings                                                    free, start-up*, pro*, enterprise*                                                                                                                                                                                                                                                                                                        agile intelligence for IoT
g11n-pipeline                                                 standard*                                                                                                                                                                                                                                                                                                                                 Manage the translation of your cloud and mobile applications using IBM Globalization Pipeline.
hiptest                                                       free                                                                                                                                                                                                                                                                                                                                      The most simple and powerful test management platform
ibm-blockchain-5-prod                                         ibm-blockchain-plan-5-prod                                                                                                                                                                                                                                                                                                                Utilize IBM's Blockchain Technology within Bluemix
ibm-iot-for-electronics                                       ibmiotforelectronicsplan, ibmiotforelectronicspaidplan*                                                                                                                                                                                                                                                                                   The IoT for Electronics service supports user and device registration and notifications. As part of the IoT for Electronics Starter, it is preconfigured with other services to help you connect your devices and get your IoT projects to market significantly faster. You can also deploy it separately and use it with an existing instance of IBM® Watson™ IoT Platform.
ibm_key_management                                            LITE                                                                                                                                                                                                                                                                                                                                      Secure keys
idemixservice                                                 idemixservicefreeplan                                                                                                                                                                                                                                                                                                                     IBM Identity Mixer Bluemix Service
imfpush                                                       Basic*                                                                                                                                                                                                                                                                                                                                    Engage Android and iOS  mobile users by sending relevant content including interactive notifications
iot-for-insurance-beta                                        iot4i-beta                                                                                                                                                                                                                                                                                                                                IBM© IoT for Insurance is an integrated IoT production instance that collects and analyzes full-context data from policy holders to provide personalized risk assessment, real-time protection, and policy cost reductions.
iotf-service                                                  iotf-service-free, iotf-service-standard*                                                                                                                                                                                                                                                                                                 This service is the hub of all things IBM IoT, it is where you can set up and manage your connected devices so that your apps can access their live and historical data.
iotforautomotive                                              free_shared                                                                                                                                                                                                                                                                                                                               IoT for Automotive provides automotive domain specialized application development enablers for data acquisition, storage, real-time processing, and business rules support.
iqpiot                                                        1                                                                                                                                                                                                                                                                                                                                         Code-Free IoT App Creation
jkoolapi                                                      junkie*, free, nerd*, addict*                                                                                                                                                                                                                                                                                                             jKool provides real-time and historical visualization and analytics
kinetise                                                      free, standard*, appstores*                                                                                                                                                                                                                                                                                                               Rapid development of mobile apps.
language_translation                                          standard*, standard_customizable*                                                                                                                                                                                                                                                                                                         Translate text from one language to another for specific domains.
language_translator                                           standard*, advanced*                                                                                                                                                                                                                                                                                                                      Translate text from one language to another for specific domains.
loadimpact                                                    lifree, li100*, li500*, li1000*                                                                                                                                                                                                                                                                                                           Performance and load testing for DevOps
mapinsights                                                   free, standard*                                                                                                                                                                                                                                                                                                                           IBM Watson IoT Context Mapping Service brings the power to your application to analyze moving object trajectories by leveraging road network-based geospatial services.
memcachedcloud                                                100mb*, 1gb*, 5gb*, 250mb*, 2-5gb*, 10gb*, 500mb*, 30mb                                                                                                                                                                                                                                                                                   Enterprise-Class Memcached for Developers
messageconnect                                                experimental                                                                                                                                                                                                                                                                                                                              Publish events.
messagehub                                                    standard*                                                                                                                                                                                                                                                                                                                                 IBM Message Hub is a scalable, distributed, high throughput message bus to unite your on-premise and off-premise cloud technologies.
messagehubincubator                                           experimental                                                                                                                                                                                                                                                                                                                              IBM Message Hub Incubator is an experimental service which gives early access to features under development for possible future inclusion in the IBM Message Hub service.
mobile-analytics_Prod                                         lite                                                                                                                                                                                                                                                                                                                                      Mobile app developers and business stakeholders: Use IBM Mobile Analytics for Bluemix to gain insight into how your app is performing and how it is being used.
mongodb                                                       100                                                                                                                                                                                                                                                                                                                                       MongoDB NoSQL database
moni-ai                                                       0, 1*, 5*, 20*                                                                                                                                                                                                                                                                                                                            Virtual Assistant for the IoT
mysql                                                         100                                                                                                                                                                                                                                                                                                                                       MySQL database
namara-catalog                                                free                                                                                                                                                                                                                                                                                                                                      Open Data. Clean and simple.
natural_language_classifier                                   standard*                                                                                                                                                                                                                                                                                                                                 Natural Language Classifier performs natural language classification on question texts. A user would be able to train their data and the predict the appropriate class for a input question.
newrelic                                                      standard                                                                                                                                                                                                                                                                                                                                  Manage and monitor your apps
personality_insights                                          tiered*, premium*                                                                                                                                                                                                                                                                                                                         The Watson Personality Insights derives insights from transactional and social media data to identify psychological traits
pitneybowes-apis                                              free, 50k*, 100k*, 500k*, 1m*                                                                                                                                                                                                                                                                                                             Add enterprise-class geodata and commerce technology your application
pm-20                                                         Free, Paid*                                                                                                                                                                                                                                                                                                                               Predictive Analytics
postgresql                                                    100                                                                                                                                                                                                                                                                                                                                       PostgreSQL database
pubnub-sandbox                                                free, power*                                                                                                                                                                                                                                                                                                                              Data Streaming and Realtime Communication
push-reappt                                                   free, pilot_b*, launch_b*, scale_b*, dream_b*                                                                                                                                                                                                                                                                                             Real Time Data Distribution Service
rabbitmq                                                      100                                                                                                                                                                                                                                                                                                                                       RabbitMQ message queue
redis                                                         100                                                                                                                                                                                                                                                                                                                                       Redis key-value store
rediscloud                                                    100mb*, 10gb*, 500mb*, 5gb*, 2-5gb*, 50gb*, 1gb*, 250mb*, 30mb                                                                                                                                                                                                                                                                            Enterprise-Class Redis for Developers
retrieve_and_rank                                             standard*                                                                                                                                                                                                                                                                                                                                 Add machine learning enhanced search capabilities to your application
runbookautomation                                             experimental                                                                                                                                                                                                                                                                                                                              Support Operators by providing a structured way of executing Runbooks.
searchly                                                      business*, enterprise*, small*, micro*, professional*, advanced*, starter                                                                                                                                                                                                                                                                 Search Made Simple. Powered-by Elasticsearch
sendgrid                                                      bronze*, silver*, gold*, platinum*                                                                                                                                                                                                                                                                                                        Delivering your email through one reliable platform.
service_discovery                                             free                                                                                                                                                                                                                                                                                                                                      Register and locate microservices running in your cloud environment.
service_proxy                                                 Free                                                                                                                                                                                                                                                                                                                                      Provides proxies for deployed microservices that are registered with IBM Service Discovery.
simplicite                                                    free, small*                                                                                                                                                                                                                                                                                                                              Versatile Cloud Platform for Enterprise Applications
spark                                                         ibm.SparkService.PayGoPersonal*, ibm.SparkService.ReservedEnterprise*                                                                                                                                                                                                                                                                     IBM Analytics for Apache Spark for Bluemix.
speech_to_text                                                standard*, premium*                                                                                                                                                                                                                                                                                                                       Low-latency, streaming transcription
statica                                                       starter, spike*, micro*, medium*, large*, enterprise*, premium*                                                                                                                                                                                                                                                                           Enterprise Static IP Addresses
streaming-analytics                                           Standard*, Standard-Subscription*                                                                                                                                                                                                                                                                                                         Ingest, analyze, monitor, and correlate data as it arrives from real-time data sources. View information and events as they unfold.
testdroid                                                     1081*, 1086*, 1080                                                                                                                                                                                                                                                                                                                        Mobile testing cloud service
text_to_speech                                                standard*, premium*                                                                                                                                                                                                                                                                                                                       Synthesizes natural-sounding speech from text.
tinyqueries                                                   free, pro*                                                                                                                                                                                                                                                                                                                                Create complex queries easily
tone_analyzer                                                 standard*, premium*                                                                                                                                                                                                                                                                                                                       Tone Analyzer uses linguistic analysis to detect three types of tones from communications: emotion, social, and language.  This insight can then be used to drive high impact communications.
tradeoff_analytics                                            standard*                                                                                                                                                                                                                                                                                                                                 Helps make better choices under multiple conflicting goals. Combines smart visualization and recommendations for tradeoff exploration
twitterinsights                                               Free, Entry*                                                                                                                                                                                                                                                                                                                              Use IBM Insights for Twitter to incorporate Twitter search results into your Bluemix applications.
ustream                                                       basic, extended*                                                                                                                                                                                                                                                                                                                          Video streaming, storage and publishing.
watson_vision_combined                                        free, standard*                                                                                                                                                                                                                                                                                                                           Find meaning in visual content! Analyze images for scenes, objects, faces, and other content. Choose a default model off the shelf, or create your own custom classifier. Find similar images within a collection. Develop smart applications that analyze the visual content of images or video frames to understand what is happening in a scene.
weatherinsights                                               Free-v2, Base-v2*, Standard-v2*, Premium-v2*                                                                                                                                                                                                                                                                                              Use the Weather Company Data for IBM Bluemix service to incorporate weather data into your Bluemix applications.
xpertrule-node-red                                            developers-license*, free-edition                                                                                                                                                                                                                                                                                                         Decision Author for node-RED

* These service plans have an associated cost. Creating a service instance will incur this cost.

TIP:  Use 'cf marketplace -s SERVICE' to view descriptions of individual plans of a given service.
